Unnamed: 0,Sl. No.,Project,Cell Name,Test Protocol,Temperature (℃),Pressure (PSI),Tester (Aging),Neware Rack,Channel,Start Date (Aging),Last Updated,Removal Date,User,Remarks,X2,X1,C,Temperature (C),combined,Channel Number,Log Consistency
427,428,UMBL2022FEB,152059,Formation,,5,R-Arbin,,39,6/16/2023,9/6/2023 20:47,6/23/2023,,,1.823817956,-30.41269242,153.7342641,25,,,Not in log file
1,2,GMJULY2022,105,Formation,,,R-Arbin,,40,7/11/2022,9/6/2023 20:36,7/15/2022,,,1.843404325,-30.90412352,156.4351407,25,,,Not in log file
339,340,GMFEB23S,24,Formation,,15,R-Arbin,,60,2/27/2023,9/6/2023 14:02,3/6/2023,,,1.902000379,-31.69755459,158.9621123,25,,,Not in log file
311,312,GMFEB23S,25,Formation,,10,R-Arbin,,37,2/27/2023,9/7/2023 21:20,3/6/2023,,,1.955568866,-32.42913378,161.3511744,25,,,Not in log file
310,311,GMFEB23S,25,1D,45,15,Neware,34,3411,,9/7/2023 21:20,,,,1.940199492,-31.59369416,155.4718622,,3411,3411,Not in log file
407,408,UMBL2022FEB,152070,Formation,,5,R-Arbin,,40,6/16/2023,9/6/2023 20:47,6/23/2023,,,1.843404325,-30.90412352,156.4351407,25,,,Not in log file
443,444,UMBL2022FEB,152051,Formation,,5,R-Arbin,,40,9/2/2022,9/7/2023 21:50,9/9/2022,,,1.843404325,-30.90412352,156.4351407,25,,,Not in log file
39,40,GMJULY2022,86,Formation,,,R-Arbin,,41,7/11/2022,8/18/2023 17:32,7/15/2022,,,1.843404325,-30.90412352,156.4351407,25,,,Not in log file
409,410,UMBL2022FEB,152069,Formation,,5,R-Arbin,,41,9/2/2022,9/6/2023 20:47,9/9/2022,,,1.843404325,-30.90412352,156.4351407,25,,,Not in log file
37,38,GMJULY2022,87,Formation,,,R-Arbin,,42,7/11/2022,9/6/2023 20:48,7/15/2022,,,1.88629733,-31.41687362,157.7109357,25,,,Not in log file
322,323,GMFEB23S,26,8,25,15,L-Arbin,,32,5/31/2023,9/6/2023 20:48,,,,1.771006441,-29.53137329,150.0144932,,,,Not in log file
323,324,GMFEB23S,26,Formation,,15,R-Arbin,,44,3/21/2023,9/6/2023 20:48,3/28/2023,,,1.847895287,-30.40041603,151.9303668,25,,,Not in log file
401,402,UMBL2022FEB,152075,Formation,,5,R-Arbin,,42,6/16/2023,9/6/2023 20:47,6/23/2023,,,1.88629733,-31.41687362,157.7109357,25,,,Not in log file
415,416,UMBL2022FEB,152066,Formation,,5,R-Arbin,,42,9/2/2022,9/6/2023 20:47,9/9/2022,,,1.88629733,-31.41687362,157.7109357,25,,,Not in log file
35,36,GMJULY2022,88,Formation,,,R-Arbin,,43,7/11/2022,9/6/2023 20:48,7/15/2022,,,1.843404325,-30.90412352,156.4351407,25,,,Not in log file
449,450,UMBL2022FEB,152048,Formation,,5,R-Arbin,,43,9/2/2022,8/18/2023 17:32,9/9/2022,,,1.843404325,-30.90412352,156.4351407,25,,,Not in log file
17,18,GMJULY2022,97,Formation,,,R-Arbin,,44,7/11/2022,9/6/2023 20:49,7/15/2022,,,1.847895287,-30.40041603,151.9303668,25,,,Not in log file
307,308,GMFEB23S,27,Formation,,15,R-Arbin,,42,4/24/2023,9/7/2023 21:20,,,Check formation start date - mismatch with Voltaiq,1.88629733,-31.41687362,157.7109357,25,,,Not in log file
306,307,GMFEB23S,27,1E,45,25,Neware,34,3418,,9/7/2023 21:20,,,Check formation start date - mismatch with Voltaiq,2.227709908,-35.32983769,166.9700278,,3418,3418,Not in log file
222,223,GMFEB23S,28,6,25,15,L-Arbin,,10,5/31/2023,9/6/2023 20:48,,,,1.8785074,-31.18830464,156.3704436,,,,Not in log file
435,436,UMBL2022FEB,152055,Formation,,5,R-Arbin,,44,6/16/2023,9/6/2023 20:47,6/23/2023,,,1.847895287,-30.40041603,151.9303668,25,,,Not in log file
459,460,UMBL2022FEB,152041,Formation,,5,R-Arbin,,44,9/2/2022,8/18/2023 17:32,9/9/2022,,,1.847895287,-30.40041603,151.9303668,25,,,Not in log file
31,32,GMJULY2022,90,Formation,,,R-Arbin,,45,7/11/2022,9/6/2023 20:48,7/15/2022,,,1.940072979,-32.27568637,161.1485387,25,,,Not in log file
223,224,GMFEB23S,28,Formation,,15,R-Arbin,,51,3/21/2023,9/6/2023 20:48,3/28/2023,,,1.918205056,-32.13625124,161.5361448,25,,,Not in log file
303,304,GMFEB23S,29,Formation,,15,R-Arbin,,50,3/21/2023,4/10/2023 14:49,3/28/2023,,,1.826264999,-30.76022521,156.4446575,25,,,Not in log file
302,303,GMFEB23S,29,,,,,,,,4/10/2023 14:49,,,,,,,,,,Not in log file
403,404,UMBL2022FEB,152073,Formation,,5,R-Arbin,,45,6/16/2023,6/23/2023 12:08,6/23/2023,,,1.940072979,-32.27568637,161.1485387,25,,,Not in log file
405,406,UMBL2022FEB,152072,Formation,,5,R-Arbin,,45,9/2/2022,9/7/2023 21:50,9/9/2022,,,1.940072979,-32.27568637,161.1485387,25,,,Not in log file
29,30,GMJULY2022,91,Formation,,,R-Arbin,,46,7/11/2022,8/18/2023 17:32,7/15/2022,,,1.910984308,-31.64054801,157.9148771,25,,,Not in log file
308,309,GMFEB23S,30,3,25,15,L-Arbin,,29,5/31/2023,9/6/2023 14:02,,,,1.771818673,-29.68715576,151.2756574,,,,Not in log file
309,310,GMFEB23S,30,Formation,,10,R-Arbin,,49,3/21/2023,9/6/2023 14:02,3/28/2023,,,1.83476023,-30.55709896,154.1317365,25,,,Not in log file
278,279,GMFEB23S,31,1A,25,15,L-Arbin,,22,5/31/2023,9/6/2023 20:48,,,,1.513558924,-25.88066491,137.4976656,,,,Not in log file
385,386,UMBL2022FEB,152085,Formation,,5,R-Arbin,,46,9/2/2022,8/7/2023 15:59,9/9/2022,,,1.910984308,-31.64054801,157.9148771,25,,,Not in log file
445,446,UMBL2022FEB,152050,Formation,,5,R-Arbin,,46,6/16/2023,9/6/2023 20:47,6/23/2023,,,1.910984308,-31.64054801,157.9148771,25,,,Not in log file
279,280,GMFEB23S,31,Formation,,15,R-Arbin,,52,3/21/2023,9/6/2023 20:48,3/28/2023,,,1.928325991,-31.98214624,159.5323822,25,,,Not in log file
297,298,GMFEB23S,32,Formation,,10,R-Arbin,,45,3/21/2023,4/10/2023 14:49,3/28/2023,,,1.940072979,-32.27568637,161.1485387,25,,,Not in log file
296,297,GMFEB23S,32,,,,,,3533,,4/10/2023 14:49,,,,1.997124226,-32.50425224,159.1341754,,,,Not in log file
379,380,UMBL2022FEB,152088,Formation,,5,R-Arbin,,47,9/2/2022,8/18/2023 13:29,9/9/2022,,,1.852667795,-30.84577741,155.2861083,25,,,Not in log file
413,414,UMBL2022FEB,152067,Formation,,5,R-Arbin,,47,6/16/2023,9/6/2023 20:47,6/23/2023,,,1.852667795,-30.84577741,155.2861083,25,,,Not in log file
25,26,GMJULY2022,93,Formation,,,R-Arbin,,48,7/11/2022,9/6/2023 20:48,7/15/2022,,,1.83476023,-30.55709896,154.1317365,25,,,Not in log file
295,296,GMFEB23S,33,Formation,,15,R-Arbin,,33,3/21/2023,7/29/2023 3:00,3/28/2023,,,1.816647783,-30.19958302,152.3994285,25,,,Not in log file
294,295,GMFEB23S,33,,,15,Neware,37,3721,5/1/2023,7/29/2023 3:00,,,,2.07780128,-33.29776527,160.3332761,,3721,3721,Not in log file
293,294,GMFEB23S,34,Formation,,10,R-Arbin,,34,3/21/2023,7/28/2023 11:03,3/28/2023,,,3.231549156,-51.04427368,228.524237,25,,,Not in log file
411,412,UMBL2022FEB,152068,Formation,,5,R-Arbin,,48,6/16/2023,9/6/2023 20:47,6/23/2023,,,1.83476023,-30.55709896,154.1317365,25,,,Not in log file
425,426,UMBL2022FEB,152060,Formation,,5,R-Arbin,,48,9/2/2022,9/6/2023 20:47,9/9/2022,,,1.83476023,-30.55709896,154.1317365,25,,,Not in log file
23,24,GMJULY2022,94,Formation,,,R-Arbin,,49,7/11/2022,8/18/2023 17:32,7/15/2022,,,1.83476023,-30.55709896,154.1317365,25,,,Not in log file
292,293,GMFEB23S,34,,,,,,,,7/28/2023 11:03,,,,,,,,,,Not in log file
251,252,GMFEB23S,35,Formation,,10,R-Arbin,,35,3/21/2023,9/6/2023 20:48,3/28/2023,,,1.822464634,-30.4303002,153.9388701,25,,,Not in log file
250,251,GMFEB23S,35,1G,25,25,L-Arbin,,16A,5/31/2023,9/6/2023 20:48,,,,,,,,,,Not in log file
381,382,UMBL2022FEB,152087,Formation,,5,R-Arbin,,49,9/2/2022,9/7/2023 21:50,9/9/2022,,,1.83476023,-30.55709896,154.1317365,25,,,Not in log file
397,398,UMBL2022FEB,152077,Formation,,5,R-Arbin,,49,6/16/2023,9/6/2023 20:47,6/23/2023,,,1.83476023,-30.55709896,154.1317365,25,,,Not in log file
21,22,GMJULY2022,95,Formation,,,R-Arbin,,50,7/11/2022,9/6/2023 20:49,7/15/2022,,,1.826264999,-30.76022521,156.4446575,25,,,Not in log file
289,290,GMFEB23S,36,Formation,,5,R-Arbin,,36,3/21/2023,9/7/2023 21:20,3/28/2023,,,2.099528211,-34.59947294,169.4758533,25,,,Not in log file
288,289,GMFEB23S,36,15,45,15,Neware,34,3415,,9/7/2023 21:20,,,,2.135340203,-34.53320829,166.5031318,,3415,3415,Not in log file
287,288,GMFEB23S,37,Formation,,10,R-Arbin,,37,3/21/2023,7/28/2023 11:03,3/28/2023,,,1.955568866,-32.42913378,161.3511744,25,,,Not in log file
387,388,UMBL2022FEB,152084,Formation,,5,R-Arbin,,50,9/2/2022,8/18/2023 17:32,9/9/2022,,,1.826264999,-30.76022521,156.4446575,25,,,Not in log file
433,434,UMBL2022FEB,152056,Formation,,5,R-Arbin,,50,6/16/2023,9/6/2023 20:47,6/23/2023,,,1.826264999,-30.76022521,156.4446575,25,,,Not in log file
19,20,GMJULY2022,96,Formation,,,R-Arbin,,51,7/11/2022,9/6/2023 20:18,7/15/2022,,,1.918205056,-32.13625124,161.5361448,25,,,Not in log file
286,287,GMFEB23S,37,,,,,,,,7/28/2023 11:03,,,,,,,,,,Not in log file
285,286,GMFEB23S,38,Formation,,5,R-Arbin,,38,3/21/2023,4/10/2023 14:49,3/28/2023,,,1.994026232,-32.72296374,161.1622424,25,,,Not in log file
284,285,GMFEB23S,38,,,,,,,,4/10/2023 14:49,,,,,,,,,,Not in log file
429,430,UMBL2022FEB,152058,Formation,,5,R-Arbin,,51,6/16/2023,9/6/2023 20:47,6/23/2023,,,1.918205056,-32.13625124,161.5361448,25,,,Not in log file
451,452,UMBL2022FEB,152047,Formation,,5,R-Arbin,,51,9/2/2022,8/18/2023 17:32,9/9/2022,,,1.918205056,-32.13625124,161.5361448,25,,,Not in log file
283,284,GMFEB23S,39,Formation,,10,R-Arbin,,39,3/21/2023,7/29/2023 3:00,3/28/2023,,,1.823817956,-30.41269242,153.7342641,25,,,Not in log file
282,283,GMFEB23S,39,,,15,Neware,37,3723,5/1/2023,7/29/2023 3:00,,,,2.147424995,-34.26995076,163.5731604,,3723,3723,Not in log file
324,325,GMFEB23S,40,2,25,15,L-Arbin,,4,5/31/2023,9/6/2023 20:49,,,,1.828755138,-30.4725686,153.8344981,,,,Not in log file
417,418,UMBL2022FEB,152065,Formation,,5,R-Arbin,,52,9/2/2022,9/7/2023 21:50,9/9/2022,,,1.928325991,-31.98214624,159.5323822,25,,,Not in log file
439,440,UMBL2022FEB,152053,Formation,,5,R-Arbin,,52,6/16/2023,9/6/2023 20:47,6/23/2023,,,1.928325991,-31.98214624,159.5323822,25,,,Not in log file
325,326,GMFEB23S,40,Formation,,15,R-Arbin,,40,3/21/2023,9/6/2023 20:49,3/28/2023,,,1.843404325,-30.90412352,156.4351407,25,,,Not in log file
13,14,GMJULY2022,99,Formation,,,R-Arbin,,54,7/11/2022,8/18/2023 17:32,7/15/2022,,,1.928325991,-31.98214624,159.5323822,25,,,Not in log file
461,462,UMBL2022FEB,152039,Formation,,5,R-Arbin,,54,9/2/2022,9/7/2023 21:50,9/9/2022,,,1.928325991,-31.98214624,159.5323822,25,,,Not in log file
11,12,GMJULY2022,100,Formation,,,R-Arbin,,55,7/11/2022,8/18/2023 13:17,7/15/2022,,,1.928325991,-31.98214624,159.5323822,25,,,Not in log file
453,454,UMBL2022FEB,152046,Formation,,5,R-Arbin,,55,9/2/2022,8/18/2023 17:32,9/9/2022,,,1.928325991,-31.98214624,159.5323822,25,,,Not in log file
9,10,GMJULY2022,101,Formation,,,R-Arbin,,56,7/11/2022,8/18/2023 13:34,7/15/2022,,,1.928325991,-31.98214624,159.5323822,25,,,Not in log file
463,464,UMBL2022FEB,152036,Formation,,5,R-Arbin,,56,9/2/2022,8/18/2023 17:32,9/9/2022,,,1.928325991,-31.98214624,159.5323822,25,,,Not in log file
33,34,GMJULY2022,89,Formation,,,R-Arbin,,57,7/11/2022,8/18/2023 17:32,7/15/2022,,,1.796521968,-29.91984024,151.4679867,25,,,Not in log file
238,239,GMFEB23S,41,6,25,15,L-Arbin,,14,5/31/2023,9/6/2023 20:48,,,,1.91179522,-31.6649176,158.044558,,,,Not in log file
239,240,GMFEB23S,41,Formation,,10,R-Arbin,,46,3/21/2023,9/6/2023 20:48,3/28/2023,,,1.910984308,-31.64054801,157.9148771,25,,,Not in log file
277,278,GMFEB23S,42,Formation,,10,R-Arbin,,47,3/21/2023,4/10/2023 14:49,3/28/2023,,,1.852667795,-30.84577741,155.2861083,25,,,Not in log file
373,374,UMBL2022FEB,152091,Formation,,5,R-Arbin,,57,9/2/2022,9/7/2023 21:50,9/9/2022,,,1.796521968,-29.91984024,151.4679867,25,,,Not in log file
383,384,UMBL2022FEB,152086,Formation,,5,R-Arbin,,57,6/16/2023,9/6/2023 20:47,6/23/2023,,,1.796521968,-29.91984024,151.4679867,25,,,Not in log file
276,277,GMFEB23S,42,,,,,,,,4/10/2023 14:49,,,,,,,,,,Not in log file
258,259,GMFEB23S,43,6,25,15,L-Arbin,,19,5/31/2023,9/6/2023 20:49,,,,1.727965617,-28.96270574,148.2546664,,,,Not in log file
259,260,GMFEB23S,43,Formation,,10,R-Arbin,,48,3/21/2023,9/6/2023 20:49,3/28/2023,,,1.83476023,-30.55709896,154.1317365,25,,,Not in log file
391,392,UMBL2022FEB,152082,Formation,,5,R-Arbin,,58,6/16/2023,9/6/2023 20:47,6/23/2023,,,1.921167617,-31.83713196,158.7861617,25,,,Not in log file
437,438,UMBL2022FEB,152054,Formation,,5,R-Arbin,,58,9/2/2022,9/7/2023 21:50,9/9/2022,,,1.921167617,-31.83713196,158.7861617,25,,,Not in log file
